"vectorField:0","vectorField:1","vectorField:2","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0,0.001,0,0,0,0,0,0,0,1,0,0,-47.074,-67.511,44.673
0,0.00034335,-0.00065678,0,0.00050978,0,0,0,0,1,0,0,-66.704,-15.623,53.106
0,0.001,0,0,3.887e-20,0,0,0,0,1,0,0,-99.492,-33.017,43.183
0,0.001,0,0,0,0,0,0,0,1,0,0,-83.936,-67.845,2.5063
0.0009408,5.3657e-05,-0.00033383,0,4.9543e-06,-1.2866e-05,-1.0121e-05,0,7.3515e-06,1,0,0,-41.456,10.401,28.964
0,0.001,0,0,3.8006e-20,0,0,0,0,1,0,0,-99.413,-44.117,47.371
0.00091578,-0.00036642,0.00016002,0,-3.4633e-05,1.8986e-05,6.642e-06,0,-3.7638e-05,1,0,0,-92.403,-28.709,3.3971
0.10206,0.014855,-0.044011,0,0.074299,0.062665,0.17063,0,0.0089588,1,0,0,-36.999,-38.334,13.663
0,0.001,0,0,-5.5282e-20,0,0,0,0,1,0,0,-42.944,-48.602,43.266
0,0.001,0,0,5.5282e-20,0,0,0,0,1,0,0,-32.198,-61.048,28.924
0.0009765,-5.9271e-05,0.00020525,0,-2.7314e-05,8.7899e-06,-1.5871e-05,0,-3.0463e-05,1,0,0,-104.83,-28.664,17.605
0,0.001,0,0,-6.9103e-21,0,0,0,0,1,0,0,-110.83,-65.442,41.766
0,0.001,0,0,0,0,0,0,0,1,0,0,-79.994,-52.665,56.338
0,0.001,0,0,1.3821e-20,0,0,0,0,1,0,0,-81.27,-70.167,27.741
0.00098001,-0.00010333,0.00016946,0,7.9729e-06,9.1173e-06,1.1371e-05,0,8.7991e-06,1,0,0,-81.65,-56.81,5.9144
0.0009574,0.00015052,-0.00024586,0,2.2683e-05,-9.1598e-07,-4.0642e-06,0,2.2581e-05,1,0,0,-34.387,1.4147,26.05
0.00099528,0.00014718,-0.00013577,0,2.6239e-05,2.0598e-05,0.0002936,0,-1.0556e-05,1,0,0,-63.438,-32.198,24.029
0.00085474,0.000114,0.00050604,0,2.1722e-05,1.4168e-05,5.9863e-06,0,2.3215e-05,1,0,0,-126.98,-37.749,28.915
0.00090231,-0.000363,0.00023195,0,-5.669e-06,-1.4579e-05,-1.5897e-05,0,-3.5106e-06,1,0,0,-91.796,-5.4556,8.0836
0,0.001,0,0,5.5282e-20,0,0,0,0,1,0,0,-109.63,-77.014,34.686
0,0.001,0,0,-3.1096e-20,0,0,0,0,1,0,0,-136.68,-39.267,33.299
0.00090623,-0.00024197,0.00034609,0,-2.2888e-05,1.4772e-05,-8.0828e-06,0,-2.712e-05,1,0,0,-114.83,7.4935,35.082
0.00092878,0.00033945,-0.00014741,0,-9.678e-06,-1.1521e-05,-1.7116e-05,0,-1.0379e-05,1,0,0,-62.64,-10.893,4.5391
0.00033516,0.0013387,-0.00085055,0,0.0017658,0.00042183,0.0011064,0,0.00013294,1,0,0,-63.59,-32.408,52.968
0,0.001,0,0,5.5282e-20,0,0,0,0,1,0,0,-39.051,-4.7998,57.66
0.0011646,-0.00053378,0.00051676,0,-0.00062824,-0.00060066,0.00047122,0,-0.00012127,1,0,0,-119.25,12.257,23.905
0,0.001,0,0,2.7641e-20,0,0,0,0,1,0,0,-21.284,6.0798,49.268
0,0.001,0,0,0,0,0,0,0,1,0,0,-51.533,-63.108,49.43
0,0.001,0,0,-5.5282e-20,0,0,0,0,1,0,0,-31.523,-71.834,29.027
0,0.001,0,0,-4.6644e-20,0,0,0,0,1,0,0,-87.477,22.882,51.769
0,0.001,0,0,5.5282e-20,0,0,0,0,1,0,0,-99.637,31.863,40.7
0.0008099,-1.8147e-05,0.00058603,0,-1.4948e-05,2.9082e-06,6.9689e-06,0,-8.0761e-06,1,0,0,-134.45,-24.707,20.908
0,0.001,0,0,-1.3821e-20,0,0,0,0,1,0,0,-106.32,-31.998,44.352
0,0.001,0,0,0,0,0,0,0,1,0,0,-72.769,29.879,21.994
0,0.001,0,0,0,0,0,0,0,1,0,0,-41.701,-62.41,36.035
0.0016172,-0.00042404,0.00049329,0,0.00040592,0.00069161,-0.00069788,0,1.0853e-05,1,0,0,-89.112,-60.544,13.555
0.0009983,1.0799e-05,-4.7217e-05,0,-2.2161e-05,1.7499e-05,2.0843e-05,0,-2.2931e-05,1,0,0,-72.858,-35.735,14.678
0,0.001,0,0,2.7641e-20,0,0,0,0,1,0,0,-106.66,1.314,64.967
0,0.001,0,0,6.9103e-20,0,0,0,0,1,0,0,-18.676,-26.958,47.642
0.16675,-0.036456,-0.087382,0,-0.083669,-0.13899,-0.093217,0,-0.0038552,1,0,0,-28.585,-41.254,23.253
0.0003847,-8.0092e-05,-8.2406e-05,0,-0.00072159,0.00028032,0.00023471,0,-0.00079549,1,0,0,-78.32,19.934,33.303
0.00098041,0.00018202,-7.4526e-05,0,4.0201e-06,1.4008e-06,-1.3028e-05,0,5.1676e-06,1,0,0,-46.099,7.1566,0.64314
0.00095791,-0.00024596,0.00014524,0,1.5216e-05,-2.3475e-05,-2.161e-06,0,2.0043e-05,1,0,0,-101.18,19.465,8.894
0,0.001,0,0,9.6744e-20,0,0,0,0,1,0,0,-34.309,-54.357,35.248
0,0.001,0,0,0,0,0,0,0,1,0,0,-125.13,16.521,44.887
0.00098696,-0.00010395,0.00012063,0,-1.8982e-06,-1.2306e-05,-1.8462e-05,0,-2.822e-06,1,0,0,-90.435,-41.311,4.808
0.00098079,-5.3031e-05,0.00018636,0,-2.0524e-05,1.1858e-05,-8.9425e-06,0,-2.2431e-05,1,0,0,-109.54,-27.803,13.45
0.00095307,-0.00023805,0.00023327,0,4.9209e-05,6.5154e-06,-0.00010796,0,1.997e-05,1,0,0,-119.67,-47.753,1.5993
0.17366,0.055723,-0.052822,0,-0.037214,0.10305,-0.013882,0,6.7619e-05,1,0,0,-28.035,-42.799,2.6465
0,0.001,0,0,2.7641e-20,0,0,0,0,1,0,0,-96.976,-30.748,62.46
0,0.001,0,0,-2.7641e-20,0,0,0,0,1,0,0,-61.459,28.893,27.816
0,0.001,0,0,5.5282e-20,0,0,0,0,1,0,0,-95.676,-36.637,39.2
