Vector field dimensions
nbX, nbY, nbZ
1, 64, 16

Bounding box min and max
coordX, coordY, coordZ
0.492188, 0.000000, 0.375000
0.507813, 1.000000, 0.625000

Triplet of values describing each vector in the field stored in X-major Z-minor order
-0.0000e+00, -9.9828e-01, 5.8559e-02
-0.0000e+00, 9.9241e-01, 1.2299e-01
-0.0000e+00, -8.7730e-01, -4.7995e-01
-0.0000e+00, -7.1610e-01, -6.9799e-01
-0.0000e+00, -2.0432e-01, -2.2914e-01
-0.0000e+00, -3.3554e-02, -3.4728e-02
-0.0000e+00, -1.7039e-03, -1.7114e-03
-0.0000e+00, -7.1120e-04, -7.0299e-04
-0.0000e+00, 7.1784e-04, 6.9621e-04
-0.0000e+00, 7.2470e-04, 6.8907e-04
-0.0000e+00, 7.3142e-04, 6.8193e-04
-0.0000e+00, 7.3786e-04, 6.7495e-04
-0.0000e+00, 7.4364e-04, 6.6858e-04
-0.0000e+00, 7.4850e-04, 6.6314e-04
-0.0000e+00, 7.5194e-04, 6.5923e-04
-0.0000e+00, 7.5352e-04, 6.5743e-04
-0.0000e+00, 9.9750e-01, 7.0731e-02
-0.0000e+00, 9.7557e-01, 2.1969e-01
-0.0000e+00, 8.4948e-01, 5.2762e-01
-0.0000e+00, 6.9921e-01, 7.1491e-01
-0.0000e+00, 5.5787e-01, 6.2451e-01
-0.0000e+00, 2.3704e-01, 2.4024e-01
-0.0000e+00, 3.1507e-02, 3.1113e-02
-0.0000e+00, 1.1326e-03, 1.1216e-03
-0.0000e+00, 7.1596e-04, 6.9814e-04
-0.0000e+00, 7.2297e-04, 6.9088e-04
-0.0000e+00, 7.2991e-04, 6.8354e-04
-0.0000e+00, 7.3658e-04, 6.7635e-04
-0.0000e+00, 7.4263e-04, 6.6970e-04
-0.0000e+00, 7.4770e-04, 6.6403e-04
-0.0000e+00, 7.5134e-04, 6.5991e-04
-0.0000e+00, 7.5306e-04, 6.5796e-04
-0.0000e+00, -9.9411e-01, -1.0838e-01
-0.0000e+00, 9.7139e-01, 2.3751e-01
-0.0000e+00, 8.3597e-01, 5.4878e-01
-0.0000e+00, -6.8179e-01, -7.3155e-01
-0.0000e+00, -6.4819e-01, -7.6148e-01
-0.0000e+00, 5.8829e-01, 6.3837e-01
-0.0000e+00, 2.4391e-01, 2.4864e-01
-0.0000e+00, 3.0798e-02, 3.0946e-02
-0.0000e+00, 1.1675e-03, 1.1517e-03
-0.0000e+00, 7.1909e-04, 6.9491e-04
-0.0000e+00, 7.2649e-04, 6.8718e-04
-0.0000e+00, 7.3380e-04, 6.7937e-04
-0.0000e+00, 7.4049e-04, 6.7207e-04
-0.0000e+00, 7.4611e-04, 6.6583e-04
-0.0000e+00, 7.5009e-04, 6.6134e-04
-0.0000e+00, 7.5200e-04, 6.5916e-04
-0.0000e+00, -9.9810e-01, -6.1554e-02
-0.0000e+00, 8.2354e-01, 1.6848e-01
-0.0000e+00, -6.0479e-01, -3.7799e-01
-0.0000e+00, 6.4429e-01, 6.7924e-01
-0.0000e+00, -6.3747e-01, -7.7048e-01
-0.0000e+00, -6.5047e-01, -7.5953e-01
-0.0000e+00, 6.1299e-01, 6.7662e-01
-0.0000e+00, 2.5210e-01, 2.6877e-01
-0.0000e+00, 3.4591e-02, 3.5226e-02
-0.0000e+00, 1.6441e-03, 1.6170e-03
-0.0000e+00, 7.2124e-04, 6.9268e-04
-0.0000e+00, 7.2957e-04, 6.8390e-04
-0.0000e+00, 7.3739e-04, 6.7547e-04
-0.0000e+00, 7.4391e-04, 6.6828e-04
-0.0000e+00, 7.4857e-04, 6.6306e-04
-0.0000e+00, 7.5082e-04, 6.6051e-04
-0.0000e+00, 9.9988e-01, 1.5299e-02
-0.0000e+00, 8.6425e-01, 1.1369e-01
-0.0000e+00, 2.9879e-01, 1.4103e-01
-0.0000e+00, 2.9426e-01, 2.6170e-01
-0.0000e+00, -5.6142e-01, -6.5027e-01
-0.0000e+00, 6.3630e-01, 7.7144e-01
-0.0000e+00, -6.4666e-01, -7.6277e-01
-0.0000e+00, 6.4317e-01, 7.1754e-01
-0.0000e+00, 2.8103e-01, 2.9950e-01
-0.0000e+00, 4.7981e-02, 4.8580e-02
-0.0000e+00, 3.2673e-03, 3.2039e-03
-0.0000e+00, 7.2435e-04, 6.8943e-04
-0.0000e+00, 7.3387e-04, 6.7929e-04
-0.0000e+00, 7.4176e-04, 6.7066e-04
-0.0000e+00, 7.4737e-04, 6.6441e-04
-0.0000e+00, 7.5009e-04, 6.6134e-04
-0.0000e+00, -9.9970e-01, 2.4590e-02
-0.0000e+00, 8.6996e-01, 2.4383e-02
-0.0000e+00, 2.0174e-01, 4.7237e-02
-0.0000e+00, 5.3307e-02, 3.1148e-02
-0.0000e+00, -2.2008e-01, -2.0240e-01
-0.0000e+00, 5.2804e-01, 6.0084e-01
-0.0000e+00, 6.4222e-01, 7.6652e-01
-0.0000e+00, 6.6552e-01, 7.4638e-01
-0.0000e+00, 6.8507e-01, 7.2848e-01
-0.0000e+00, 3.4649e-01, 3.5491e-01
-0.0000e+00, 6.9964e-02, 6.9462e-02
-0.0000e+00, 5.1554e-03, 4.9830e-03
-0.0000e+00, 7.3080e-04, 6.8259e-04
-0.0000e+00, 7.4049e-04, 6.7207e-04
-0.0000e+00, 7.4730e-04, 6.6448e-04
-0.0000e+00, 7.5068e-04, 6.6066e-04
-0.0000e+00, 9.9920e-01, -4.0059e-02
-0.0000e+00, -8.5220e-01, 2.6079e-02
-0.0000e+00, 1.7809e-01, 1.0576e-02
-0.0000e+00, 5.0523e-03, 1.5132e-03
-0.0000e+00, 2.4884e-02, 1.4198e-02
-0.0000e+00, 1.8263e-01, 1.5230e-01
-0.0000e+00, 5.0556e-01, 5.1867e-01
-0.0000e+00, -6.7739e-01, -7.3563e-01
-0.0000e+00, 6.8112e-01, 7.3217e-01
-0.0000e+00, -7.0058e-01, -7.1358e-01
-0.0000e+00, 4.0716e-01, 3.9244e-01
-0.0000e+00, 7.3116e-02, 7.0545e-02
-0.0000e+00, 3.8689e-03, 3.6238e-03
-0.0000e+00, 7.4156e-04, 6.7088e-04
-0.0000e+00, 7.4969e-04, 6.6179e-04
-0.0000e+00, 7.5371e-04, 6.5720e-04
-0.0000e+00, 9.9907e-01, -4.3027e-02
-0.0000e+00, 8.3773e-01, -4.9652e-02
-0.0000e+00, 1.6451e-01, -7.8203e-03
-0.0000e+00, 2.2486e-03, 2.1689e-04
-0.0000e+00, 9.6528e-04, 2.6123e-04
-0.0000e+00, 1.6919e-02, 7.5314e-03
-0.0000e+00, -1.7067e-01, -1.0407e-01
-0.0000e+00, -5.4466e-01, -4.1028e-01
-0.0000e+00, -7.4411e-01, -6.6806e-01
-0.0000e+00, 7.3881e-01, 6.7392e-01
-0.0000e+00, 7.5693e-01, 6.5350e-01
-0.0000e+00, 3.4620e-01, 3.0622e-01
-0.0000e+00, 4.2162e-02, 3.8552e-02
-0.0000e+00, 9.0880e-04, 8.0792e-04
-0.0000e+00, 7.5621e-04, 6.5433e-04
-0.0000e+00, 7.6057e-04, 6.4925e-04
-0.0000e+00, -9.9901e-01, 4.4578e-02
-0.0000e+00, 8.2401e-01, -6.1445e-02
-0.0000e+00, 1.5327e-01, -1.6897e-02
-0.0000e+00, 1.4532e-03, -7.2705e-05
-0.0000e+00, 9.9957e-04, 2.9226e-05
-0.0000e+00, 9.9595e-04, 8.9879e-05
-0.0000e+00, 3.5303e-02, 4.9641e-03
-0.0000e+00, -3.2464e-01, -8.1027e-02
-0.0000e+00, 8.9852e-01, 4.3892e-01
-0.0000e+00, 8.2528e-01, 5.6473e-01
-0.0000e+00, 8.2279e-01, 5.6835e-01
-0.0000e+00, 7.7983e-01, 5.3020e-01
-0.0000e+00, 1.9190e-01, 1.5582e-01
-0.0000e+00, 1.2097e-02, 1.0303e-02
-0.0000e+00, 7.6805e-04, 6.4039e-04
-0.0000e+00, 7.7195e-04, 6.3569e-04
-0.0000e+00, -9.9918e-01, 4.0582e-02
-0.0000e+00, 8.1113e-01, -5.9424e-02
-0.0000e+00, 1.4325e-01, -1.9705e-02
-0.0000e+00, 9.8745e-04, -1.5794e-04
-0.0000e+00, 9.8480e-04, -1.7371e-04
-0.0000e+00, 9.7793e-04, -2.0895e-04
-0.0000e+00, 6.4554e-02, -1.6339e-02
-0.0000e+00, 4.6704e-01, -8.0316e-02
-0.0000e+00, -9.9625e-01, -8.6484e-02
-0.0000e+00, 9.2878e-01, 3.7064e-01
-0.0000e+00, -8.9490e-01, -4.4627e-01
-0.0000e+00, 8.9835e-01, 4.3928e-01
-0.0000e+00, 4.6470e-01, 3.0088e-01
-0.0000e+00, 5.9527e-02, 4.6295e-02
-0.0000e+00, 7.8481e-04, 6.1973e-04
