Vector field dimensions
nbX, nbY, nbZ
1, 64, 16

Bounding box min and max
coordX, coordY, coordZ
0.492188, 0.000000, 0.375000
0.507813, 1.000000, 0.625000

Triplet of values describing each vector in the field stored in X-major Z-minor order
-0.0000e+00, -9.9828e-01, 5.8559e-02
-0.0000e+00, 9.9241e-01, 1.2299e-01
-0.0000e+00, -8.7730e-01, -4.7995e-01
-0.0000e+00, -7.1610e-01, -6.9799e-01
-0.0000e+00, -6.6553e-01, -7.4637e-01
-0.0000e+00, -6.9484e-01, -7.1916e-01
-0.0000e+00, -7.0555e-01, -7.0866e-01
-0.0000e+00, -7.1120e-01, -7.0299e-01
-0.0000e+00, 7.1784e-01, 6.9621e-01
-0.0000e+00, 7.2470e-01, 6.8907e-01
-0.0000e+00, 7.3142e-01, 6.8193e-01
-0.0000e+00, 7.3786e-01, 6.7495e-01
-0.0000e+00, 7.4364e-01, 6.6858e-01
-0.0000e+00, 7.4850e-01, 6.6314e-01
-0.0000e+00, 7.5194e-01, 6.5923e-01
-0.0000e+00, 7.5352e-01, 6.5743e-01
-0.0000e+00, 9.9750e-01, 7.0731e-02
-0.0000e+00, 9.7557e-01, 2.1969e-01
-0.0000e+00, 8.4948e-01, 5.2762e-01
-0.0000e+00, 6.9921e-01, 7.1491e-01
-0.0000e+00, 6.6620e-01, 7.4578e-01
-0.0000e+00, 7.0235e-01, 7.1183e-01
-0.0000e+00, 7.1155e-01, 7.0264e-01
-0.0000e+00, 7.1056e-01, 7.0363e-01
-0.0000e+00, 7.1596e-01, 6.9814e-01
-0.0000e+00, 7.2297e-01, 6.9088e-01
-0.0000e+00, 7.2991e-01, 6.8354e-01
-0.0000e+00, 7.3658e-01, 6.7635e-01
-0.0000e+00, 7.4263e-01, 6.6970e-01
-0.0000e+00, 7.4770e-01, 6.6403e-01
-0.0000e+00, 7.5134e-01, 6.5991e-01
-0.0000e+00, 7.5306e-01, 6.5796e-01
-0.0000e+00, -9.9411e-01, -1.0838e-01
-0.0000e+00, 9.7139e-01, 2.3751e-01
-0.0000e+00, 8.3597e-01, 5.4878e-01
-0.0000e+00, -6.8179e-01, -7.3155e-01
-0.0000e+00, -6.4819e-01, -7.6148e-01
-0.0000e+00, 6.7768e-01, 7.3536e-01
-0.0000e+00, 7.0028e-01, 7.1386e-01
-0.0000e+00, 7.0541e-01, 7.0880e-01
-0.0000e+00, 7.1190e-01, 7.0228e-01
-0.0000e+00, 7.1909e-01, 6.9491e-01
-0.0000e+00, 7.2649e-01, 6.8718e-01
-0.0000e+00, 7.3380e-01, 6.7937e-01
-0.0000e+00, 7.4049e-01, 6.7207e-01
-0.0000e+00, 7.4611e-01, 6.6583e-01
-0.0000e+00, 7.5009e-01, 6.6134e-01
-0.0000e+00, 7.5200e-01, 6.5916e-01
-0.0000e+00, -9.9810e-01, -6.1554e-02
-0.0000e+00, 9.7971e-01, 2.0043e-01
-0.0000e+00, -8.4800e-01, -5.2999e-01
-0.0000e+00, 6.8819e-01, 7.2553e-01
-0.0000e+00, -6.3747e-01, -7.7048e-01
-0.0000e+00, -6.5047e-01, -7.5953e-01
-0.0000e+00, 6.7140e-01, 7.4110e-01
-0.0000e+00, 6.8412e-01, 7.2937e-01
-0.0000e+00, 7.0064e-01, 7.1351e-01
-0.0000e+00, 7.1295e-01, 7.0121e-01
-0.0000e+00, 7.2124e-01, 6.9268e-01
-0.0000e+00, 7.2957e-01, 6.8390e-01
-0.0000e+00, 7.3739e-01, 6.7547e-01
-0.0000e+00, 7.4391e-01, 6.6828e-01
-0.0000e+00, 7.4857e-01, 6.6306e-01
-0.0000e+00, 7.5082e-01, 6.6051e-01
-0.0000e+00, 9.9988e-01, 1.5299e-02
-0.0000e+00, 9.9146e-01, 1.3043e-01
-0.0000e+00, 9.0433e-01, 4.2684e-01
-0.0000e+00, 7.4724e-01, 6.6456e-01
-0.0000e+00, -6.5350e-01, -7.5692e-01
-0.0000e+00, 6.3630e-01, 7.7144e-01
-0.0000e+00, -6.4666e-01, -7.6277e-01
-0.0000e+00, 6.6746e-01, 7.4464e-01
-0.0000e+00, 6.8427e-01, 7.2923e-01
-0.0000e+00, 7.0271e-01, 7.1148e-01
-0.0000e+00, 7.1400e-01, 7.0014e-01
-0.0000e+00, 7.2435e-01, 6.8943e-01
-0.0000e+00, 7.3387e-01, 6.7929e-01
-0.0000e+00, 7.4176e-01, 6.7066e-01
-0.0000e+00, 7.4737e-01, 6.6441e-01
-0.0000e+00, 7.5009e-01, 6.6134e-01
-0.0000e+00, -9.9970e-01, 2.4590e-02
-0.0000e+00, 9.9961e-01, 2.8016e-02
-0.0000e+00, 9.7367e-01, 2.2798e-01
-0.0000e+00, 8.6341e-01, 5.0450e-01
-0.0000e+00, -7.3604e-01, -6.7694e-01
-0.0000e+00, 6.6013e-01, 7.5115e-01
-0.0000e+00, 6.4222e-01, 7.6652e-01
-0.0000e+00, 6.6552e-01, 7.4638e-01
-0.0000e+00, 6.8507e-01, 7.2848e-01
-0.0000e+00, 6.9857e-01, 7.1554e-01
-0.0000e+00, 7.0965e-01, 7.0456e-01
-0.0000e+00, 7.1902e-01, 6.9499e-01
-0.0000e+00, 7.3080e-01, 6.8259e-01
-0.0000e+00, 7.4049e-01, 6.7207e-01
-0.0000e+00, 7.4730e-01, 6.6448e-01
-0.0000e+00, 7.5068e-01, 6.6066e-01
-0.0000e+00, 9.9920e-01, -4.0059e-02
-0.0000e+00, -9.9953e-01, 3.0588e-02
-0.0000e+00, 9.9824e-01, 5.9285e-02
-0.0000e+00, 9.5796e-01, 2.8691e-01
-0.0000e+00, 8.6856e-01, 4.9558e-01
-0.0000e+00, 7.6799e-01, 6.4046e-01
-0.0000e+00, 6.9800e-01, 7.1610e-01
-0.0000e+00, -6.7739e-01, -7.3563e-01
-0.0000e+00, 6.8112e-01, 7.3217e-01
-0.0000e+00, -7.0058e-01, -7.1358e-01
-0.0000e+00, 7.2000e-01, 6.9398e-01
-0.0000e+00, 7.1965e-01, 6.9434e-01
-0.0000e+00, 7.2985e-01, 6.8361e-01
-0.0000e+00, 7.4156e-01, 6.7088e-01
-0.0000e+00, 7.4969e-01, 6.6179e-01
-0.0000e+00, 7.5371e-01, 6.5720e-01
-0.0000e+00, 9.9907e-01, -4.3027e-02
-0.0000e+00, 9.9825e-01, -5.9165e-02
-0.0000e+00, 9.9887e-01, -4.7482e-02
-0.0000e+00, 9.9538e-01, 9.6012e-02
-0.0000e+00, 9.6528e-01, 2.6123e-01
-0.0000e+00, 9.1358e-01, 4.0666e-01
-0.0000e+00, -8.5378e-01, -5.2063e-01
-0.0000e+00, -7.9874e-01, -6.0167e-01
-0.0000e+00, -7.4411e-01, -6.6806e-01
-0.0000e+00, 7.3881e-01, 6.7392e-01
-0.0000e+00, 7.5693e-01, 6.5350e-01
-0.0000e+00, 7.4903e-01, 6.6254e-01
-0.0000e+00, 7.3800e-01, 6.7480e-01
-0.0000e+00, 7.4737e-01, 6.6441e-01
-0.0000e+00, 7.5621e-01, 6.5433e-01
-0.0000e+00, 7.6057e-01, 6.4925e-01
-0.0000e+00, -9.9901e-01, 4.4578e-02
-0.0000e+00, 9.9723e-01, -7.4361e-02
-0.0000e+00, 9.9398e-01, -1.0958e-01
-0.0000e+00, 9.9875e-01, -4.9969e-02
-0.0000e+00, 9.9957e-01, 2.9226e-02
-0.0000e+00, 9.9595e-01, 8.9879e-02
-0.0000e+00, 9.9026e-01, 1.3925e-01
-0.0000e+00, -9.7024e-01, -2.4216e-01
-0.0000e+00, 8.9852e-01, 4.3892e-01
-0.0000e+00, 8.2528e-01, 5.6473e-01
-0.0000e+00, 8.2279e-01, 5.6835e-01
-0.0000e+00, 8.2697e-01, 5.6225e-01
-0.0000e+00, 7.7631e-01, 6.3035e-01
-0.0000e+00, 7.6129e-01, 6.4841e-01
-0.0000e+00, 7.6805e-01, 6.4039e-01
-0.0000e+00, 7.7195e-01, 6.3569e-01
-0.0000e+00, -9.9918e-01, 4.0582e-02
-0.0000e+00, 9.9733e-01, -7.3065e-02
-0.0000e+00, 9.9067e-01, -1.3627e-01
-0.0000e+00, 9.8745e-01, -1.5794e-01
-0.0000e+00, 9.8480e-01, -1.7371e-01
-0.0000e+00, 9.7793e-01, -2.0895e-01
-0.0000e+00, 9.6943e-01, -2.4537e-01
-0.0000e+00, 9.8553e-01, -1.6948e-01
-0.0000e+00, -9.9625e-01, -8.6484e-02
-0.0000e+00, 9.2878e-01, 3.7064e-01
-0.0000e+00, -8.9490e-01, -4.4627e-01
-0.0000e+00, 8.9835e-01, 4.3928e-01
-0.0000e+00, 8.3941e-01, 5.4350e-01
-0.0000e+00, 7.8938e-01, 6.1391e-01
-0.0000e+00, 7.8481e-01, 6.1973e-01
